"id","organism_no","cg_name","common_name","genus","species","family","order","class","phylum","slate_2001","slate_2009","feral_peril","ot_class","description","restrict_code","species_type","fishcount","filename","map_filename","photographer_of_photo","id_notes","reefwatch_slate"
184,165,"Green Branching","Fern Weed","Caulerpa","sp.","Caulerpaceae","Bryopsidales","Ulvophyceae","Chlorophyta","y","y","n","Family Caulerpaceae","Species in this family grow horizontally from a stolon, can occupy large areas. Identification of species relies on branching pattern and the size and shape of the smallest branches (ramuli). They can be flat, filamentous or bubble shaped.","\N","Marine Plants","\N","184.jpg","184.gif","Mark Norman","\N","t"
185,166,"Green Algae","Cactus Algae (aka. Bubble Algae)","Caulerpa","cactoides","Caulerpaceae","Bryopsidales","Ulvophyceae","Chlorophyta","y","y","n","Family Caulerpaceae","Often found in Seagrass beds and sheltered bays.
Has club- shaped ramuli( branches)10-20 mm long that constrict to the base. (Edgar,G. pg 41)","\N","Marine Plants","\N","\N","185.gif","\N","Name change Aug 2009 for new RW slate","t"
186,167,"Green Branching","Sea Velvet","Codium","sp.","Codiaceae","Bryopsidales","Ulvophyceae","Chlorophyta","y","y","n","Family Codiaceae","\N","\N","Marine Plants","\N","186.jpg","\N","Mark Norman","\N","t"
187,168,"Plants","Sea Lettuce","Ulva","sp.","Ulvaceae","Ulvales","Ulvophyceae","Chlorophyta","y","y","n","Family Ulvaceae","Species in this family have simple plant bodies(thalli) that are either flat or tubular sheets or filaments two cells wide (Edgar.G. pg 28)","\N","Marine Plants","\N","187.jpg","\N","Mark Norman","\N","t"
188,169,"Other","Green Filamentous","Cladophora","sp.","Cladaphoraceae","Cladophorales","Ulvophyceae","Chlorophyta","y","y","n","Family Cladaphoraceae","Species in this family have long thin filaments made up of chains of cells of roughly equal size.","\N","Marine Plants","\N","188.jpg","188.gif","Reef Watch","\N","t"
189,170,"Red Algae","Red Fleshy","Plocamium","dilatatum","Plocamiaceae","Plocamiales","Florideophyceae","Rhodophyta","y","n","n","Family Plocamiaceae","Beautiful geometric patterns are characteristic of this group.","\N","Marine Plants","\N","\N","189.gif","\N","\N","t"
190,171,"Red Algae","Branching Coralline","Amphiroa","anceps","Corallinaceae","Corallinales","Florideophyceae","Rhodophyta","y","y","n","Family Corallinaceae","One of the largest families of red algae and has both branching and flattened forms. This species has regularly divided branches formed from flat cartilaginous nodes. It is the most common of the branched coralline algae.","\N","Marine Plants","\N","190.jpg","190.gif","Reef Watch","\N","t"
191,172,"Red Algae","Encrusting Coralline","Encrusting","sp.","Corallinaceae","Corallinales","Florideophyceae","Rhodophyta","y","y","n","Family Corallinaceae","\N","\N","Marine Plants","\N","191.jpg","191.gif","Reef Watch","\N","t"
192,173,"Turfing Red and Browns","Turfing Red","Ballia","callitricha","Balliaceae","Balliales","Florideophyceae","Rhodophyta","y","n","n","Family Ceramiaceae","A red algae with stiff ramuli arranged in two or three dense rows along the axis. Very common on exposed reefs.","\N","Marine Plants","\N","\N","\N","\N","\N","t"
193,174,"Turfing Red and Browns","Turfing Brown","Zonaria","sp.","Dictyotaceae","Dictyotales","Phaeophyceae","Ochrophyta","y","n","n","Family Dictyotaceae","Species in the genus Zonaria are difficult to classify. There are 4 species along the Sthn coastline.","\N","Marine Plants","\N","193.jpg","\N","Reef Watch","\N","t"
194,175,"Seagrass","Paddleweed","Halophila","australis","Hydrocharitaceae","Alismatales",,"Tracheophyta","y","y","n","family Hydrocharitaceae","Often confused with the other 'paddlelike weed', this species has narrower leave than H.ovalis H.australis has more cross veins on each leaf(14-16 compared to 10-12 for H.ovalis) You will find this species in sheltered embayments and estuaries.","\N","Marine Plants","\N","\N","194.gif","\N","\N","t"
195,176,"Seagrass","Sea Nymph","Amphibolis","antartica","Cymodoceaceae","Alismatales",,"Tracheophyta","y","y","n","Family Cymodoceaceae","This species has woody branched stems.The leaves are small relative to the stems, flat with smooth margins and have a blunt apex. (Edgar.G. 107)","\N","Marine Plants","\N","\N","\N","\N","\N","t"
196,177,"Seagrass","Southern Strapweed","Posidonia","australis","Posidoniaceae","Alismatales",,"Tracheophyta","y","y","n","Family Posidoniasceae","P.australis has wide (10-15mm),flat leaves. The ends are rounded and unbroken. The only species of this genus recorded in Victoria, NSW and Tasmania. (Edgar.G pg 104)","\N","Marine Plants","\N","196.jpg","\N","Mark Norman","\N","t"
197,178,"Seagrass","Eel Grass","Zostera","tasmanica","Zosteraceae","Alismatales",,"Tracheophyta","y","y","n","Family Zosteraceae","Leaves of H.tasmanica have dark wiry bases that arise from the rhizomes. To classify you need to examine a cross section of the vascular bundles in the stem. Zostera only have two vascular bundles whereas H. tasmanica has 4-12.This species is the one divers most frequently observe. (Edgar,G.pg 108)","\N","Marine Plants","\N","197.jpg","197.gif","Mark Norman","\N","t"
198,179,"Seagrass","Swan Grass","Zostera","muelleri","Zosteraceae","Alismatales",,"Tracheophyta","y","y","n","Family Zosteraceae","Species of this family have long narrow leaves.Very important habitat for fish, invertebrates and wading birds. Leaf length to 600mm. The blade of the leaf has three longitudinal veins.( Edgar,G pg 109)","\N","Marine Plants","\N","198.jpg","\N","Reef Watch","\N","t"
199,180,"Introduced Pests","Undaria Kelp","Undaria","pinnatifida","Alariaceae","Laminariales","Phaeophyceae","Ochrophyta","y","n","y","\N","Introduced kelp from Asia. Distinctive ruffled stipe and large, green-brown frond.","\N","Marine Plants","\N","\N","\N","\N","\N","t"
200,181,"Introduced Pests","Northern Pacific Seastar","Asterias","amurensis","Asteriidae","Forcipulatida","Asteroidea","Echinodermata","y","n","y","Family Asteriidae","Introduced from the Northern Pacific, it has 5 distinctive pointed arms and one row of spines along the ambulacral groove on the underside. Purple blotches on a yellow backround, blotches fade as the animal matures. If you see this animal outside of Port Phillip Bay- please report it to Reef Watch and the Department of Sustainability and Environment.","\N","Introduced Pests","\N","200.jpg","\N","David Bryant","\N","t"
201,182,"Introduced Pests","Mediterranean Fan Worm","Sabella","spallanzanii","Sabellidae","Sabellida","Polychaeta","Annelida","y","n","y","Family Sabellidae","This species has distinctive banded, spiral tentacles that emerge from a tube made from mud and sand. A filter feeder, it is found in huge densities in Corio Bay.","\N","Introduced Pests","\N","201.jpg","\N","David Staples","\N","t"
204,183,"Rock cods and seaperches","Harlequin fish","Othos","dentex","Serranidae","Perciformes","Actinopteri","Chordata","y","y","n","\N","Inhabits coastal reefs of S.A. and Southern W.A. Last seen in Port Phillip Bay, Victoria 100+ years ago.Long and relatively slender body, with a 'coral trout' pattern of bright blue spots. THe body colour varies from red, orange, yellow and brown. Darker blotches can be scattered over the head and body. The yellow blotches on the lower side seperates this species from the northern coral trout species.Inquisitive fish, will follow divers at a distance. Range: Victor Harbor S.A, to WA. Jurien Bay.","\N","Fish Species","1","\N","\N","\N","\N","\N"
205,167,"Wrasse","Western Blue Groper","Achoerodus","gouldii","Labridae","Perciformes","Actinopteri","Chordata","y","n","y","\N","Generally found in SA and WA, but also found in Western Victoria in lower numbers. Differs from closely related Eastern Blue Groper in coloration (has yellow spots around the eyes instead of lines) The female is green instead of reddish brown in the latter. Max length 1.6m","\N","Fish Species","1","\N","\N","\N","\N","\N"
208,184,"Sea slugs and sea hares","Sweet Ceratosoma","Ceratosoma","amoenum","Chromodorididae","Nudibranchia","Gastropoda","Mollusca","y","y","n","\N","\N","\N","Invertebrates","\N","208.jpg","\N","\N","\N","\N"
209,1,"Gastropods","Australian Pleuroploca","Australaria","australasia","Fasciolariidae","Neogastropoda","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
210,210,"Rock cods and seaperches","Banded Sea Perch","Hypoplectrodes","nigroruber","Serranidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
212,212,"Brown branching","Complex Branching Algae","Cystophora","subfarcinata","Sargassaceae","Fucales","Phaeophyceae","Ochrophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW Slate","\N"
213,213,"Gastropods","Conical Thalotia","Thalotia","conica","Trochidae",,"Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
214,214,"Gastropods","Cowrie","Notocypraea","comptonii","Cypraeidae","Littorinimorpha","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","added Aug 2009 for new RW slate","\N"
215,215,"Green Branching","Curved Branch Caulerpa","Caulerpa","longifolia","Caulerpaceae","Bryopsidales","Ulvophyceae","Chlorophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","added Aug 2009 for new RW slate","\N"
217,217,"Red Algae","Liagora harveyana","Liagora","harveyana","Liagoraceae","Nemaliales","Florideophyceae","Rhodophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","added Aug 2009 for new RW slate.","\N"
218,218,"Seagrass","Long Eelgrass","Zostera","nigricaulis","Zosteraceae","Alismatales",,"Tracheophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
219,219,"Red Algae","Metagoniolithon chara","Metagoniolithon","chara","Corallinaceae","Corallinales","Florideophyceae","Rhodophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
221,221,"Squid, octopus and cuttlefish","Paper Nautilus","Argonauta","nodosus","Argonautidae","Octopoda","Cephalopoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","221.jpg","\N","David Bryant","added Aug 2009 for new RW slate","\N"
222,222,"Red Algae","Peyssonnelia capensis","Sonderophycus","capensis","Peyssonneliaceae","Peyssonneliales","Florideophyceae","Rhodophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","added Aug 2009 for new RW slate","\N"
223,223,"Red Algae","Plocamium cartilagineum","Plocamium","cartilagineum","Plocamiaceae","Plocamiales","Florideophyceae","Rhodophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","added Aug 2009 for new RW slate","\N"
224,224,"Seahorse and relatives","Shorthead Seahorse","Hippocampus","breviceps","Syngnathidae","Syngnathiformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","224.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW slate","\N"
225,225,"Pike","Snook","Sphyraena","novaehollandiae","Sphyraenidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","225.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW slate","\N"
227,227,"Squid, octopus and cuttlefish","Southern Pygmy Squid","Idiosepius","notoides","Idiosepiidae","Decapodiformes","Cephalopoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","227.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW slate","\N"
228,228,"Ray","Southern Eagle Ray","Myliobatis","australis","Myliobatidae","Myliobatiformes","Elasmobranchii","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
230,230,"Stingarees","Sparsely-Spotted Stingaree","Urolophus","paucimaculatus","Urolophidae","Myliobatiformes","Elasmobranchii","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","230.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW kits","\N"
231,231,"Crabs","Stridulating Hermit Crab","Strigopagurus","strigimanus","Diogenidae","Decapoda","Malacostraca","Arthropoda","y","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
232,232,"Sea stars and sea biscuits","Vermillion Sea Star","Pentagonaster","duebeni","Goniasteridae","Valvatida","Asteroidea","Echinodermata","n","y","n","\N","\N","\N","Invertebrates","\N","232.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW slates","\N"
233,233,"Gastropods","Wavy Turbo","Lunella","undulata","Turbinidae",,"Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","233.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW slate","\N"
234,234,"Squid, octopus and cuttlefish","Southern Dumpling Squid","Euprymna","tasmanica","Sepiolidae","Sepiida","Cephalopoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","234.jpg","\N","Sylvia Buchanan","Added Aug 2009 for new RW slate","\N"
235,235,"Hydroid","Aglaophenia parvula","Aglaophenia","parvula","Aglaopheniidae","Leptothecata","Hydrozoa","Cnidaria","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
236,236,"Shrimp","Australian Hinge-back shrimp","Rhynchocinetes","australis","Rhynchocinetidae","Decapoda","Malacostraca","Arthropoda","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
237,237,"Bryozoan","Bugula","Bugula","dentata","Bugulidae","Cheilostomatida","Gymnolaemata","Bryozoa","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
238,238,"Green Algae","Cladophora rugulosa","Cladophora","prolifera","Cladophoraceae","Cladophoraceae","Cladophorales","Chlorophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
239,239,"Stony Coral","Stony Coral","Plesiastrea","versipora","\N","Scleractinia","Anthozoa","Cnidaria","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
240,240,"Weedfish","Common Weedfish","Heteroclinus","perspicillatus","Clinidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","\N","\N","\N","Added Aug 2009 for RW slate","\N"
241,241,"Salmon","East Australian Salmon","Arripis","trutta","Arripidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
242,242,"Brown Algae","Ecklonia","Ecklonia","radiata","Lessoniaceae","Laminariales","Phaeophyceae","Ochrophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
243,243,"Green Algae","Fishermens Fingers","Codium","fragile","Codiaceae","Bryopsidales","Ulvophyceae","Chlorophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
244,244,"Brown Algae","Flat Lobed Cystophora","Cystophora","platylobium","Sargassaceae","Fucales","Phaeophyceae","Ochrophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
245,245,"Brown Algae","Flattened Cystophora","Cystophora","moniliformis","Sargassaceae","Fucales","Phaeophyceae","Ochrophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
246,246,"Bryozoan","Lace Coral","Triphyllozoon","moniliferum","Phidoloporidae","Cheilostomatida","Gymnolaemata","Bryozoa","n","y","n","\N","\N","\N","Invertebrates","\N","246.jpg","\N","David Bryant","Added AUg 2009 for new RW slates","\N"
247,247,"Blenny","Oyster Blenny","Omobranchus","anolius","Blenniidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","247.jpg","\N","David Bryant","Added Aug 2009 for new RW Slates","\N"
248,248,"Green Algae","Pine Caulerpa","Caulerpa","flexilis","Caulerpaceae","Bryopsidales","Ulvophyceae","Chlorophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
249,249,"Hydroid","Ralpharia magnifica","Ralpharia","magnifica","Tubulariidae","Anthoathecata","Hydrozoa","Cnidaria","n","y","n","\N","\N","\N","Invertebrates","\N","249.jpg","\N","David Bryant","Added Aug 2009 for new RW slates","\N"
250,250,"Shrimp","Red Handed Rockpool shrimp","Palaemon","serenus","Palaemonidae","Decapoda","Malacostraca","Arthropoda","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
251,251,"Brown Algae","Round Stem Algae","Caulocystis","uvifera","Sargassaceae","Fucales","Phaeophyceae","Ochrophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
252,252,"Green Algae","Sea Apple","Codium","pomoides","Codiaceae","Bryopsidales","Ulvophyceae","Chlorophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
253,253,"Threadsail","Sergeant Baker","Latropiscis","purpurissatus","Aulopidae","Aulopiformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
254,254,"Snapper","Snapper","Chrysophrys","aurata","Sparidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","254.jpg","\N","David Bryant","Added Aug 2009 for new RW slates","\N"
255,255,"Bryozoan","Soft Bryozoan","Orthoscuticella","sp.","Catenicellidae","Cheilostomatida","Gymnolaemata","Bryozoa","n","y","n","\N","\N","\N","Invertebrates","\N","\N","\N","\N","Added Aug 2009 for new RW slates","\N"
256,256,"Blenny","Tasmanian Blenny","Parablennius","tasmanianus","Blenniidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","256.jpg","\N","David Bryant","Added Aug 2009 for new slates","\N"
257,257,"Anglerfish","Tasselled Anglerfish","Rhycherus","filamentosus","Antennariidae","Lophiiformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","257.jpg","\N","David Bryant","Added Aug 2009 for new slate","\N"
258,258,"Green Algae","Unbranched Cylindrical Algae","Caulerpa","brownii","Caulerpaceae","Bryopsidales","Ulvophyceae","Chlorophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new slates","\N"
259,259,"Brown Algae","Zig Zag Cystophora","Cystophora","retorta","Sargassaceae","Fucales","Phaeophyceae","Ochrophyta","n","y","n","\N","\N","\N","Marine Plants","\N","\N","\N","\N","Added Aug 2009 for new RW slate","\N"
260,260,"Mullet","Yelloweye Mullet","Aldrichetta","forsteri","Mugilidae","Perciformes","Actinopteri","Chordata","n","y","n","\N","\N","\N","Fish Species","\N","260.jpg","\N","David Bryant","Added Aug 2009 for new RW slate","\N"
261,261,"Sea slugs and sea hares","Striped Philinopsis","Philinopsis","lineolata","Aglajidae","Cephalaspidea","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","261.jpg","\N","Sylvia Buchanan","Added 20th October. Id from Coleman","\N"
262,262,"Sea slugs and sea hares","Red-netted Chromodoris","Goniobranchus","tinctorius","Chromodorididae","Nudibranchia","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","262.jpg","\N","Sylvia Buchanan","Added 20/20/09. ID in Coleman.","\N"
263,263,"Sea slugs and sea hares","Hedgepeth's Polycera","Polycera","hedgepethi","Polyceridae","Nudibranchia","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","263.jpg","\N","Sylvia Buchanan","Added 20/10/2009. Id in Coleman.","\N"
264,264,"Sea slugs and sea hares","Made-up Phyllodesmium","Phyllodesmium","serratum","Facelinidae","Nudibranchia","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","264.jpg","\N","Sylvia Buchanan","Added 20/10/2009. Id Nudi Atlas website , and Coleman.","\N"
265,265,"Sea slugs and sea hares","Tasty Chromodoris","Goniobranchus","epicurius","Chromodorididae","Nudibranchia","Gastropoda","Mollusca","n","y","n","\N","\N","\N","Invertebrates","\N","265.jpg","\N","Sylvia Buchanan","Added 20/10/2009. Cole man & Nudi Atlas (website)","\N"
266,266,"Shark","Southern Banded Wobbegong","Orectolobus","halei","Orectolobidae","Orectolobiformes","Elasmobranchii","Chordata","n","y","y","\N","Eye small, oval, no tubercles above rim 4-6, (rarely 4) dermal loves in front of eye. dermal flaps behind spiracle very broad and and unbranched. Lent to 2.1m Colour Brown with dark and pale marbline and rosette -like pattens enclosing imperfect ocelli. Broad dark saddles crossing upper portion of body and tail behind the head. Most sharks identified as O. maculatus in Vic.","\N","Fish Species","\N","\N","\N","\N","\N","t"
267,267,"Gastropods","New Zealand Screwshell","Maoricolpus","roseus","Turritellidae",,"Gastropoda","Mollusca","n","n","y","Turritellidae family","The characters that distinguish this species in the are its large size, brown colouration, multi-whorled protoconch, and sculpture of many fine threads.Up to 90.8 mm in length, commonly 60-70 mm.
","\N","Introduced Pests","\N","\N","\N","\N","Feral or InPeril species. Family Turritellidae","\N"
268,268,"Introduced Pests","Aquarium  taxifolia","Caulerpa","taxifolia","Caulerpaceae","Bryopsidales","Ulvophyceae","Chlorophyta","n","n","y","Caulerpaceae","Light green macroalga with flattened fronds, Side branches (pinnules ) extend either side of a midrib and opposite one another on each frond.","\N","Marine Plants","\N","\N","\N","\N","Feral or Inperil species.","\N"
269,269,"Introduced Pests","Chinese Mitten Crab","Eriocheir","sinensis","Varunidae","Decapoda","Malacostraca","Arthropoda","n","n","y","Malacostraca","A medium sized crabe named after the unique, large hairy patches on the claws taht look like mittens or gloves. Lives and burrows in mud n the banks of rivers and estuaries.","\N","Invertebrates","\N","\N","\N","\N","Feral or InPeril species. Varunidae family. 
","\N"
270,270,"Introduced Pests","Rapa or Veined Whelk","Rapana","venosa","Muricidae","Neogastropoda","Gastropoda","Mollusca","n","n","y","\N","A large snail with shell up to 18sm long. Characteristics include the black vein, dotted pattern in lines around the outside of the shell and orange inside.","\N","Invertebrates","\N","\N","\N","\N","Feral or InPeril species Family Muricidae","\N"
